id,name,year,co2
13141,"Hancock County, GA",2017,unknown
13143,"Haralson County, GA",2017,unknown
13145,"Harris County, GA",2017,unknown
13147,"Hart County, GA",2017,unknown
13149,"Heard County, GA",2017,unknown
13151,"Henry County, GA",2017,unknown
13153,"Houston County, GA",2017,unknown
13155,"Irwin County, GA",2017,unknown
13157,"Jackson County, GA",2017,unknown
13159,"Jasper County, GA",2017,unknown
13161,"Jeff Davis County, GA",2017,unknown
13163,"Jefferson County, GA",2017,unknown
13165,"Jenkins County, GA",2017,unknown
13167,"Johnson County, GA",2017,unknown
13169,"Jones County, GA",2017,unknown
13171,"Lamar County, GA",2017,unknown
13173,"Lanier County, GA",2017,unknown
13175,"Laurens County, GA",2017,unknown
13177,"Lee County, GA",2017,unknown
13179,"Liberty County, GA",2017,unknown
13181,"Lincoln County, GA",2017,unknown
13183,"Long County, GA",2017,unknown
13185,"Lowndes County, GA",2017,unknown
13187,"Lumpkin County, GA",2017,unknown
13189,"McDuffie County, GA",2017,unknown
13191,"McIntosh County, GA",2017,unknown
13193,"Macon County, GA",2017,unknown
13195,"Madison County, GA",2017,unknown
13197,"Marion County, GA",2017,unknown
13199,"Meriwether County, GA",2017,unknown
13201,"Miller County, GA",2017,unknown
13205,"Mitchell County, GA",2017,unknown
13207,"Monroe County, GA",2017,unknown
13209,"Montgomery County, GA",2017,unknown
13211,"Morgan County, GA",2017,unknown
13213,"Murray County, GA",2017,unknown
13215,"Muscogee County, GA",2017,unknown
13217,"Newton County, GA",2017,unknown
13219,"Oconee County, GA",2017,unknown
13221,"Oglethorpe County, GA",2017,unknown
13223,"Paulding County, GA",2017,unknown
13225,"Peach County, GA",2017,unknown
13227,"Pickens County, GA",2017,unknown
13229,"Pierce County, GA",2017,unknown
13231,"Pike County, GA",2017,unknown
13233,"Polk County, GA",2017,unknown
13235,"Pulaski County, GA",2017,unknown
13237,"Putnam County, GA",2017,unknown
13239,"Quitman County, GA",2017,unknown
13241,"Rabun County, GA",2017,unknown
13243,"Randolph County, GA",2017,unknown
13245,"Richmond County, GA",2017,unknown
13247,"Rockdale County, GA",2017,unknown
13249,"Schley County, GA",2017,unknown
13251,"Screven County, GA",2017,unknown
13253,"Seminole County, GA",2017,unknown
13255,"Spalding County, GA",2017,unknown
13257,"Stephens County, GA",2017,unknown
13259,"Stewart County, GA",2017,unknown
13261,"Sumter County, GA",2017,unknown
13263,"Talbot County, GA",2017,unknown
13265,"Taliaferro County, GA",2017,unknown
13267,"Tattnall County, GA",2017,unknown
13269,"Taylor County, GA",2017,unknown
13271,"Telfair County, GA",2017,unknown
13273,"Terrell County, GA",2017,unknown
13275,"Thomas County, GA",2017,unknown
13277,"Tift County, GA",2017,unknown
13279,"Toombs County, GA",2017,unknown
13281,"Towns County, GA",2017,unknown
13283,"Treutlen County, GA",2017,unknown
13285,"Troup County, GA",2017,unknown
13287,"Turner County, GA",2017,unknown
13289,"Twiggs County, GA",2017,unknown
13291,"Union County, GA",2017,unknown
13293,"Upson County, GA",2017,unknown
13295,"Walker County, GA",2017,unknown
13297,"Walton County, GA",2017,unknown
13299,"Ware County, GA",2017,unknown
13301,"Warren County, GA",2017,unknown
13303,"Washington County, GA",2017,unknown
13305,"Wayne County, GA",2017,unknown
13307,"Webster County, GA",2017,unknown
13309,"Wheeler County, GA",2017,unknown
13311,"White County, GA",2017,unknown
13313,"Whitfield County, GA",2017,unknown
13315,"Wilcox County, GA",2017,unknown
13317,"Wilkes County, GA",2017,unknown
13319,"Wilkinson County, GA",2017,unknown
13321,"Worth County, GA",2017,unknown
15001,"Hawaii County, HI",2017,unknown
15003,"Honolulu County/city, HI",2017,unknown
15007,"Kauai County, HI",2017,unknown
15009,"Maui County, HI",2017,unknown
16001,"Ada County, ID",2017,unknown
16003,"Adams County, ID",2017,unknown
16005,"Bannock County, ID",2017,unknown
16007,"Bear Lake County, ID",2017,unknown
16009,"Benewah County, ID",2017,unknown
16011,"Bingham County, ID",2017,unknown
16013,"Blaine County, ID",2017,unknown
16015,"Boise County, ID",2017,unknown
16017,"Bonner County, ID",2017,unknown
16019,"Bonneville County, ID",2017,unknown
16021,"Boundary County, ID",2017,unknown
16023,"Butte County, ID",2017,unknown
16025,"Camas County, ID",2017,unknown
16027,"Canyon County, ID",2017,unknown
16029,"Caribou County, ID",2017,unknown
16031,"Cassia County, ID",2017,unknown
16033,"Clark County, ID",2017,unknown
16035,"Clearwater County, ID",2017,unknown
16037,"Custer County, ID",2017,unknown
16039,"Elmore County, ID",2017,unknown
16041,"Franklin County, ID",2017,unknown
16043,"Fremont County, ID",2017,unknown
16045,"Gem County, ID",2017,unknown
16047,"Gooding County, ID",2017,unknown
16049,"Idaho County, ID",2017,unknown
16051,"Jefferson County, ID",2017,unknown
16053,"Jerome County, ID",2017,unknown
16055,"Kootenai County, ID",2017,unknown
16057,"Latah County, ID",2017,unknown
16059,"Lemhi County, ID",2017,unknown
16061,"Lewis County, ID",2017,unknown
16063,"Lincoln County, ID",2017,unknown
16065,"Madison County, ID",2017,unknown
16067,"Minidoka County, ID",2017,unknown
16069,"Nez Perce County, ID",2017,unknown
16071,"Oneida County, ID",2017,unknown
16073,"Owyhee County, ID",2017,unknown
16075,"Payette County, ID",2017,unknown
16077,"Power County, ID",2017,unknown
16079,"Shoshone County, ID",2017,unknown
16081,"Teton County, ID",2017,unknown
16083,"Twin Falls County, ID",2017,unknown
16085,"Valley County, ID",2017,unknown
16087,"Washington County, ID",2017,unknown
17001,"Adams County, IL",2017,unknown
17003,"Alexander County, IL",2017,unknown
17005,"Bond County, IL",2017,unknown
17007,"Boone County, IL",2017,unknown
17009,"Brown County, IL",2017,unknown
17011,"Bureau County, IL",2017,unknown
17013,"Calhoun County, IL",2017,unknown
17015,"Carroll County, IL",2017,unknown
17017,"Cass County, IL",2017,unknown
17019,"Champaign County, IL",2017,unknown
17021,"Christian County, IL",2017,unknown
17023,"Clark County, IL",2017,unknown
17025,"Clay County, IL",2017,unknown
17027,"Clinton County, IL",2017,unknown
17029,"Coles County, IL",2017,unknown
17031,"Cook County, IL",2017,unknown
17033,"Crawford County, IL",2017,unknown
17035,"Cumberland County, IL",2017,unknown
17037,"DeKalb County, IL",2017,unknown
17039,"De Witt County, IL",2017,unknown
17041,"Douglas County, IL",2017,unknown
17043,"DuPage County, IL",2017,unknown
17045,"Edgar County, IL",2017,unknown
17047,"Edwards County, IL",2017,unknown
17049,"Effingham County, IL",2017,unknown
17051,"Fayette County, IL",2017,unknown
17053,"Ford County, IL",2017,unknown
17055,"Franklin County, IL",2017,unknown
17057,"Fulton County, IL",2017,unknown
17059,"Gallatin County, IL",2017,unknown
17061,"Greene County, IL",2017,unknown
17063,"Grundy County, IL",2017,unknown
17065,"Hamilton County, IL",2017,unknown
17067,"Hancock County, IL",2017,unknown
17069,"Hardin County, IL",2017,unknown
17071,"Henderson County, IL",2017,unknown
17073,"Henry County, IL",2017,unknown
17075,"Iroquois County, IL",2017,unknown
17077,"Jackson County, IL",2017,unknown
17079,"Jasper County, IL",2017,unknown
17081,"Jefferson County, IL",2017,unknown
17083,"Jersey County, IL",2017,unknown
17085,"Jo Daviess County, IL",2017,unknown
17087,"Johnson County, IL",2017,unknown
17089,"Kane County, IL",2017,unknown
17091,"Kankakee County, IL",2017,unknown
17093,"Kendall County, IL",2017,unknown
17095,"Knox County, IL",2017,unknown
17097,"Lake County, IL",2017,unknown
17099,"LaSalle County, IL",2017,unknown
17101,"Lawrence County, IL",2017,unknown
17103,"Lee County, IL",2017,unknown
17105,"Livingston County, IL",2017,unknown
17107,"Logan County, IL",2017,unknown
17109,"McDonough County, IL",2017,unknown
17111,"McHenry County, IL",2017,unknown
17113,"McLean County, IL",2017,unknown
17115,"Macon County, IL",2017,unknown
17117,"Macoupin County, IL",2017,unknown
17119,"Madison County, IL",2017,unknown
17121,"Marion County, IL",2017,unknown
17123,"Marshall County, IL",2017,unknown
17125,"Mason County, IL",2017,unknown
17127,"Massac County, IL",2017,unknown
17129,"Menard County, IL",2017,unknown
17131,"Mercer County, IL",2017,unknown
17133,"Monroe County, IL",2017,unknown
17135,"Montgomery County, IL",2017,unknown
17137,"Morgan County, IL",2017,unknown
17139,"Moultrie County, IL",2017,unknown
17141,"Ogle County, IL",2017,unknown
17143,"Peoria County, IL",2017,unknown
17145,"Perry County, IL",2017,unknown
17147,"Piatt County, IL",2017,unknown
17149,"Pike County, IL",2017,unknown
17151,"Pope County, IL",2017,unknown
17153,"Pulaski County, IL",2017,unknown
17155,"Putnam County, IL",2017,unknown
17157,"Randolph County, IL",2017,unknown
17159,"Richland County, IL",2017,unknown
17161,"Rock Island County, IL",2017,unknown
17163,"St. Clair County, IL",2017,unknown
17165,"Saline County, IL",2017,unknown
17167,"Sangamon County, IL",2017,unknown
17169,"Schuyler County, IL",2017,unknown
17171,"Scott County, IL",2017,unknown
17173,"Shelby County, IL",2017,unknown
